Date,Open,High,Low,Close,Adj Close,Volume
2015-02-12,30.680000,31.090000,30.549999,30.889999,28.622210,321300
2015-02-13,30.830000,31.360001,30.620001,31.200001,28.909451,827700
2015-02-17,31.090000,31.389999,30.900000,31.049999,28.770464,488600
2015-02-18,30.959999,31.360001,30.950001,31.219999,28.927980,364200
2015-02-19,31.200001,31.330000,30.910000,31.000000,28.724131,354300
2015-02-20,31.000000,31.410000,30.740000,31.299999,29.002110,422100
2015-02-23,31.209999,31.290001,30.910000,31.260000,28.965044,425100
2015-02-24,31.309999,31.350000,31.000000,31.150000,28.863125,392300
2015-02-25,31.150000,31.400000,31.010000,31.320000,29.020641,362000
2015-02-26,31.250000,31.459999,31.100000,31.180000,28.890919,389600
2015-02-27,31.129999,31.280001,31.000000,31.139999,28.853855,267200
2015-03-02,31.100000,31.610001,31.100000,31.549999,29.233759,513500
2015-03-03,31.540001,31.549999,31.070000,31.129999,28.844589,300500
2015-03-04,31.080000,31.260000,30.870001,31.180000,28.890919,239200
2015-03-05,31.260000,31.500000,31.100000,31.379999,29.076235,199800
2015-03-06,31.170000,31.379999,30.940001,31.090000,28.807529,248800
2015-03-09,31.070000,31.219999,30.969999,31.180000,28.890919,202500
2015-03-10,30.889999,31.260000,30.510000,30.600000,28.353500,257700
2015-03-11,30.600000,31.270000,30.520000,31.270000,28.974314,363100
2015-03-12,31.400000,31.450001,30.860001,31.340000,29.039173,474500
2015-03-13,31.309999,31.480000,31.100000,31.379999,29.076235,363500
2015-03-16,31.469999,32.150002,31.350000,32.070000,29.715580,408200
2015-03-17,32.110001,32.560001,31.959999,32.439999,30.058413,495400
2015-03-18,32.500000,32.959999,32.250000,32.849998,30.438316,459100
2015-03-19,32.810001,32.990002,32.790001,32.849998,30.438316,240600
2015-03-20,32.950001,33.000000,32.730000,32.830002,30.419786,871500
2015-03-23,32.770000,32.799999,32.380001,32.599998,30.206671,440200
2015-03-24,32.520000,32.959999,32.509998,32.799999,30.391985,534500
2015-03-25,32.799999,32.889999,31.969999,31.980000,29.632187,326000
2015-03-26,31.719999,31.840000,31.290001,31.740000,29.409807,407600
2015-03-27,31.670000,32.000000,31.559999,31.850000,29.511732,267700
2015-03-30,32.000000,32.270000,31.870001,32.189999,29.826767,256700
2015-03-31,31.940001,32.139999,31.840000,32.040001,29.687782,380900
2015-04-01,31.920000,32.340000,31.500000,32.310001,29.937963,483200
2015-04-02,32.419998,32.459999,32.180000,32.410000,30.030619,375900
2015-04-06,32.099998,32.750000,32.040001,32.389999,30.012087,641900
2015-04-07,32.419998,32.529999,32.299999,32.450001,30.067682,547500
2015-04-08,32.529999,32.869999,32.439999,32.799999,30.391985,400000
2015-04-09,32.750000,32.860001,32.419998,32.650002,30.252998,450100
2015-04-10,32.650002,32.990002,32.590000,32.880001,30.466114,282700
2015-04-13,32.820000,33.150002,32.689999,32.919998,30.503176,232000
2015-04-14,32.799999,32.820000,32.439999,32.669998,30.271526,238200
2015-04-15,32.820000,32.970001,32.630001,32.799999,30.391985,214800
2015-04-16,32.680000,32.799999,32.480000,32.580002,30.188141,186300
2015-04-17,32.389999,32.580002,31.850000,32.230000,29.863834,278500
2015-04-20,32.270000,32.540001,32.270000,32.320000,29.947226,263000
2015-04-21,32.470001,32.700001,32.180000,32.200001,29.836039,318000
2015-04-22,32.299999,32.349998,31.889999,32.220001,29.854567,393200
2015-04-23,32.090000,32.490002,31.980000,32.169998,29.808237,559500
2015-04-24,32.279999,32.389999,31.870001,31.990000,29.641455,167600
2015-04-27,32.029999,32.299999,31.629999,31.750000,29.419073,349900
2015-04-28,31.719999,32.049999,31.540001,31.770000,29.437603,329600
2015-04-29,30.760000,30.760000,27.990000,29.190001,27.047014,1474800
2015-04-30,28.969999,29.990000,28.270000,28.600000,26.500330,1049700
2015-05-01,28.639999,28.670000,28.209999,28.360001,26.277948,1250300
2015-05-04,28.440001,28.629999,28.219999,28.530001,26.435471,724600
2015-05-05,28.620001,28.770000,28.230000,28.730000,26.620785,640600
2015-05-06,28.850000,29.000000,28.150000,28.410000,26.324282,366900
2015-05-07,28.150000,28.430000,28.110001,28.389999,26.482859,256500
2015-05-08,28.590000,28.959999,28.590000,28.770000,26.837332,304100
2015-05-11,28.709999,28.959999,28.400000,28.420000,26.510841,211300
2015-05-12,28.330000,28.780001,28.090000,28.719999,26.790688,305300
2015-05-13,28.809999,29.340000,28.760000,28.969999,27.023895,476700
2015-05-14,29.420000,29.750000,29.230000,29.680000,27.686201,447400
2015-05-15,29.530001,29.799999,29.520000,29.690001,27.695530,357100
2015-05-18,29.600000,30.059999,29.490000,29.870001,27.863438,277700
2015-05-19,29.900000,30.070000,29.549999,30.030001,28.012690,356300
2015-05-20,29.950001,30.090000,29.730000,29.990000,27.975376,293000
2015-05-21,29.990000,30.090000,29.750000,30.000000,27.984705,276300
2015-05-22,29.930000,30.209999,29.870001,30.059999,28.040674,246100
2015-05-26,29.670000,30.320000,29.629999,30.090000,28.068659,737800
2015-05-27,30.030001,30.299999,29.940001,30.129999,28.105970,321300
2015-05-28,29.930000,30.280001,29.740000,30.270000,28.236570,409300
2015-05-29,30.180000,30.240000,29.760000,29.910000,27.900751,430700
2015-06-01,29.930000,29.990000,29.629999,29.850000,27.844778,267000
2015-06-02,29.730000,30.250000,29.459999,30.080000,28.059330,333300
2015-06-03,30.180000,30.900000,30.110001,30.850000,28.777605,420100
2015-06-04,30.690001,30.719999,30.360001,30.559999,28.507084,340600
2015-06-05,30.570000,30.950001,30.240000,30.940001,28.861561,307600
2015-06-08,30.809999,31.020000,30.580000,30.879999,28.805588,445400
2015-06-09,30.889999,31.020000,30.650000,30.840000,28.768280,314300
2015-06-10,30.980000,31.120001,30.840000,31.080000,28.992151,353500
2015-06-11,31.030001,31.280001,30.889999,31.250000,29.150732,339900
2015-06-12,31.059999,31.309999,30.920000,31.080000,28.992151,186700
2015-06-15,30.940001,31.090000,30.440001,30.959999,28.880211,322900
2015-06-16,30.860001,31.139999,30.719999,31.090000,29.001480,246300
2015-06-17,31.129999,31.270000,31.000000,31.100000,29.010809,372100
2015-06-18,31.200001,31.459999,31.100000,31.430000,29.318642,383100
2015-06-19,31.469999,31.559999,31.129999,31.129999,29.038795,1028200
2015-06-22,31.389999,31.490000,31.110001,31.260000,29.160061,384200
2015-06-23,31.299999,31.400000,31.150000,31.379999,29.271999,230900
2015-06-24,31.330000,31.370001,30.959999,31.090000,29.001480,340900
2015-06-25,31.180000,31.299999,30.709999,30.809999,28.740292,371100
2015-06-26,30.900000,30.980000,30.270000,30.330000,28.292534,2452400
2015-06-29,30.090000,30.379999,29.590000,29.629999,27.639563,383700
2015-06-30,29.830000,29.830000,29.330000,29.459999,27.480976,384300
2015-07-01,29.670000,29.719999,29.270000,29.570000,27.583590,352300
2015-07-02,29.660000,29.790001,29.549999,29.680000,27.686201,358800
2015-07-06,29.510000,29.790001,29.400000,29.459999,27.480976,351800
2015-07-07,29.420000,29.480000,28.809999,29.150000,27.191803,368400
2015-07-08,28.889999,29.240000,28.299999,28.520000,26.604128,546200
2015-07-09,28.889999,28.990000,28.330000,28.340000,26.436214,272800
2015-07-10,28.620001,28.820000,28.230000,28.440001,26.529499,424400
2015-07-13,28.680000,28.840000,28.530001,28.610001,26.688080,263200
2015-07-14,28.570000,28.690001,28.500000,28.580000,26.660095,420200
2015-07-15,28.610001,28.750000,28.129999,28.170000,26.277637,414300
2015-07-16,28.370001,28.549999,28.219999,28.370001,26.464203,351900
2015-07-17,28.450001,28.450001,27.910000,27.920000,26.044428,263500
2015-07-20,27.959999,27.959999,27.680000,27.799999,25.932491,327800
2015-07-21,27.719999,27.910000,27.490000,27.540001,25.689960,346200
2015-07-22,27.330000,27.469999,27.209999,27.389999,25.550034,578100
2015-07-23,27.389999,27.809999,27.290001,27.379999,25.540705,351700
2015-07-24,27.420000,27.559999,27.180000,27.309999,25.475409,392200
2015-07-27,27.230000,27.379999,27.070000,27.309999,25.475409,252500
2015-07-28,27.490000,27.620001,27.000000,27.450001,25.606005,483800
2015-07-29,27.190001,27.540001,26.830000,27.410000,25.568691,597200
2015-07-30,27.270000,27.889999,27.270000,27.760000,25.895180,454500
2015-07-31,28.010000,29.340000,27.940001,28.959999,27.014566,840200
2015-08-03,28.840000,29.309999,28.459999,28.700001,26.772036,505800
2015-08-04,28.719999,28.959999,28.570000,28.799999,26.865316,782700
2015-08-05,28.820000,29.120001,28.660000,28.700001,26.772036,894900
2015-08-06,28.469999,29.030001,28.410000,28.910000,27.147650,783100
2015-08-07,28.840000,29.350000,28.840000,29.350000,27.560827,650300
2015-08-10,29.430000,29.930000,29.430000,29.740000,27.927050,492700
2015-08-11,29.420000,29.610001,29.250000,29.379999,27.588997,677300
2015-08-12,29.150000,29.440001,28.719999,29.340000,27.551437,526100
2015-08-13,29.290001,29.670000,29.209999,29.480000,27.682901,485900
2015-08-14,29.490000,29.530001,29.280001,29.410000,27.617172,405400
2015-08-17,29.379999,29.820000,29.299999,29.799999,27.983397,354500
2015-08-18,29.780001,29.809999,29.500000,29.620001,27.814369,368500
2015-08-19,29.400000,29.400000,28.980000,29.040001,27.269728,352100
2015-08-20,28.950001,29.180000,28.760000,28.760000,27.006794,539400
2015-08-21,28.580000,29.040001,28.459999,28.760000,27.006794,728000
2015-08-24,27.510000,28.680000,27.410000,27.870001,26.171047,990900
2015-08-25,28.620001,28.620001,27.590000,27.639999,25.955069,630000
2015-08-26,28.330000,28.570000,27.730000,28.440001,26.706303,577800
2015-08-27,28.760000,28.940001,27.879999,28.790001,27.034967,984100
2015-08-28,28.549999,29.260000,28.549999,29.260000,27.476315,409400
2015-08-31,29.049999,29.299999,28.830000,29.209999,27.429361,507100
2015-09-01,28.639999,28.870001,28.070000,28.219999,26.499710,444800
2015-09-02,28.570000,28.570000,27.930000,28.400000,26.668739,299800
2015-09-03,28.530001,28.840000,28.400000,28.740000,26.988014,267000
2015-09-04,28.370001,28.680000,28.230000,28.309999,26.584227,250300
2015-09-08,28.650000,28.879999,28.260000,28.850000,27.091309,309100
2015-09-09,29.090000,29.090000,28.459999,28.520000,26.781424,195200
2015-09-10,28.480000,28.799999,28.090000,28.260000,26.537273,488400
2015-09-11,28.090000,28.320000,27.910000,28.200001,26.480930,236400
2015-09-14,28.190001,28.209999,27.840000,27.959999,26.255560,211900
2015-09-15,28.010000,28.360001,27.860001,28.320000,26.593616,354100
2015-09-16,28.290001,28.940001,28.290001,28.850000,27.091309,232100
2015-09-17,28.860001,29.160000,28.600000,28.799999,27.044357,171900
2015-09-18,28.389999,28.850000,28.110001,28.160000,26.443373,554200
2015-09-21,28.320000,28.559999,28.010000,28.080000,26.368248,131200
2015-09-22,27.740000,27.920000,27.549999,27.650000,25.964460,237200
2015-09-23,27.760000,27.760000,27.240000,27.260000,25.598234,156900
2015-09-24,27.000000,27.389999,26.900000,27.320000,25.654575,259000
2015-09-25,27.530001,27.530001,27.030001,27.139999,25.485550,219800
2015-09-28,26.940001,27.260000,26.830000,27.100000,25.447985,324400
2015-09-29,27.200001,27.330000,27.030001,27.170000,25.513720,407200
2015-09-30,27.430000,27.930000,27.280001,27.790001,26.095924,304700
2015-10-01,27.850000,27.850000,27.059999,27.549999,25.870554,933900
2015-10-02,27.190001,28.070000,27.139999,28.059999,26.349466,254400
2015-10-05,28.320000,29.080000,28.170000,29.020000,27.250942,297800
2015-10-06,29.070000,29.299999,28.770000,28.990000,27.222773,223000
2015-10-07,29.180000,29.379999,28.709999,29.120001,27.344849,332500
2015-10-08,29.070000,29.209999,28.930000,29.100000,27.326067,355000
2015-10-09,29.139999,29.139999,28.750000,28.879999,27.119478,386500
2015-10-12,28.910000,29.000000,28.610001,28.889999,27.128870,225300
2015-10-13,28.690001,28.980000,28.389999,28.600000,26.856546,203200
2015-10-14,28.610001,28.719999,28.320000,28.370001,26.640570,127900
2015-10-15,28.469999,28.570000,28.040001,28.480000,26.743862,135600
2015-10-16,28.450001,28.450001,28.110001,28.260000,26.537273,129700
2015-10-19,28.059999,28.389999,28.000000,28.320000,26.593616,186300
2015-10-20,28.320000,28.420000,28.049999,28.299999,26.574833,125000
2015-10-21,28.389999,28.520000,27.980000,28.030001,26.321301,236800
2015-10-22,28.209999,28.889999,28.209999,28.559999,26.818983,184800
2015-10-23,28.650000,29.150000,28.650000,29.080000,27.307289,228800
2015-10-26,28.950001,29.090000,28.750000,28.889999,27.128870,219300
2015-10-27,28.660000,28.809999,28.100000,28.420000,26.687523,236400
2015-10-28,29.410000,30.940001,28.070000,30.580000,28.715851,576700
2015-10-29,30.250000,31.180000,30.250000,30.879999,28.997561,335900
2015-10-30,30.780001,31.100000,30.450001,30.469999,28.612551,334900
2015-11-02,30.490000,30.780001,29.709999,30.719999,28.847311,181700
2015-11-03,30.420000,30.750000,29.850000,30.559999,28.697067,230900
2015-11-04,30.420000,30.549999,30.320000,30.520000,28.659504,196200
2015-11-05,30.360001,30.650000,30.240000,30.389999,28.716204,190600
2015-11-06,30.370001,30.370001,29.940001,30.230000,28.565010,482900
2015-11-09,30.110001,30.209999,29.770000,30.000000,28.347683,168500
2015-11-10,29.840000,30.049999,29.600000,29.959999,28.309881,360400
2015-11-11,30.100000,30.100000,29.620001,29.660000,28.026407,120600
2015-11-12,29.520000,29.530001,28.950001,29.150000,27.544493,166400
2015-11-13,29.180000,29.309999,28.930000,29.040001,27.440554,162600
2015-11-16,28.910000,29.629999,28.910000,29.620001,27.988607,161400
2015-11-17,29.639999,30.070000,29.520000,29.940001,28.290981,251300
2015-11-18,30.030001,30.740000,28.940001,30.660000,28.971327,265800
2015-11-19,30.590000,30.799999,30.290001,30.450001,28.772896,264500
2015-11-20,30.450001,30.740000,30.230000,30.350000,28.678404,187100
2015-11-23,30.440001,30.709999,30.260000,30.469999,28.791790,188600
2015-11-24,30.330000,30.730000,30.010000,30.570000,28.886282,229700
2015-11-25,30.559999,30.920000,30.469999,30.870001,29.169765,126200
2015-11-27,30.870001,31.299999,30.780001,31.170000,29.453241,125500
2015-11-30,31.200001,31.700001,31.000000,31.400000,29.670570,307900
2015-12-01,31.469999,31.559999,31.000000,31.170000,29.453241,145500
2015-12-02,31.129999,31.580000,30.969999,31.540001,29.802860,311800
2015-12-03,31.580000,31.709999,30.549999,30.780001,29.084721,246900
2015-12-04,30.850000,30.990000,30.549999,30.639999,28.952433,149700
2015-12-07,30.580000,30.750000,30.309999,30.570000,28.886282,324500
2015-12-08,30.320000,30.559999,29.930000,30.250000,28.583910,230600
2015-12-09,30.160000,30.500000,29.559999,29.700001,28.064203,237800
2015-12-10,29.700001,29.850000,29.500000,29.559999,27.931913,186300
2015-12-11,29.370001,29.370001,28.860001,29.209999,27.601189,290000
2015-12-14,29.180000,29.549999,28.709999,29.150000,27.544493,226000
2015-12-15,29.360001,29.660000,29.209999,29.410000,27.790174,209900
2015-12-16,29.639999,29.750000,29.230000,29.629999,27.998058,153500
2015-12-17,29.660000,29.730000,29.290001,29.500000,27.875217,137900
2015-12-18,29.330000,29.650000,28.809999,28.910000,27.317713,726200
2015-12-21,29.059999,29.309999,28.350000,28.620001,27.043688,260800
2015-12-22,28.690001,29.040001,28.290001,28.910000,27.317713,218500
2015-12-23,29.070000,29.490000,29.040001,29.410000,27.790174,170900
2015-12-24,29.410000,29.660000,29.309999,29.530001,27.903564,109400
2015-12-28,29.400000,29.510000,29.180000,29.469999,27.846870,205700
2015-12-29,29.620001,29.870001,29.070000,29.389999,27.771275,191400
2015-12-30,29.330000,29.480000,29.030001,29.129999,27.525597,169800
2015-12-31,28.990000,29.629999,28.670000,28.690001,27.109835,199200
2016-01-04,28.510000,28.590000,28.059999,28.309999,26.750761,297100
2016-01-05,28.320000,28.480000,28.110001,28.190001,26.637369,173300
2016-01-06,27.820000,28.410000,27.820000,27.959999,26.420033,352700
2016-01-07,27.540001,27.820000,27.250000,27.340000,25.834187,283400
2016-01-08,27.490000,27.889999,27.290001,27.330000,25.824738,579600
2016-01-11,27.549999,27.910000,27.389999,27.870001,26.334997,376200
2016-01-12,28.059999,28.219999,27.490000,27.830000,26.297199,307400
2016-01-13,27.910000,28.100000,27.530001,27.840000,26.306644,482800
2016-01-14,27.950001,28.250000,27.790001,28.020000,26.476732,221200
2016-01-15,27.500000,28.020000,27.420000,27.799999,26.268850,373300
2016-01-19,27.969999,28.270000,27.600000,28.080000,26.533426,1735900
2016-01-20,27.790001,28.379999,27.600000,28.120001,26.571226,976600
2016-01-21,28.230000,28.299999,27.540001,27.670000,26.146011,487900
2016-01-22,28.049999,28.920000,27.959999,28.920000,27.327164,467300
2016-01-25,28.700001,28.920000,28.219999,28.309999,26.750761,277500
2016-01-26,28.379999,28.750000,28.320000,28.540001,26.968092,345800
2016-01-27,28.430000,28.600000,28.040001,28.190001,26.637369,379700
2016-01-28,28.520000,28.520000,27.549999,28.340000,26.779108,201300
2016-01-29,28.629999,29.219999,28.430000,28.500000,26.930294,633400
2016-02-01,28.309999,28.309999,27.950001,28.090000,26.542875,367900
2016-02-02,27.780001,27.920000,27.309999,27.320000,25.815287,561900
2016-02-03,27.309999,27.780001,27.270000,27.639999,26.117661,373500
2016-02-04,27.559999,27.879999,27.549999,27.780001,26.249954,314800
2016-02-05,27.700001,27.700001,26.969999,26.990000,25.503464,184800
2016-02-08,26.790001,27.770000,26.559999,27.559999,26.042070,526300
2016-02-09,27.260000,27.620001,26.830000,26.889999,25.408966,354500
2016-02-10,27.000000,27.299999,26.900000,27.030001,25.541258,867400
2016-02-11,26.520000,27.190001,26.500000,26.959999,25.665016,762900
2016-02-12,27.190001,27.870001,26.830000,27.360001,26.045801,463400
