Date,Open,High,Low,Close,Adj Close,Volume
2018-01-11,43.630001,44.169998,43.549999,43.980000,43.761761,349300
2018-01-12,44.080002,44.430000,43.900002,44.310001,44.090122,454000
2018-01-16,44.439999,44.930000,44.349998,44.689999,44.468235,374400
2018-01-17,44.869999,46.169998,44.869999,46.070000,45.841389,684500
2018-01-18,45.900002,46.450001,45.389999,46.119999,45.891140,489000
2018-01-19,46.139999,46.580002,45.880001,46.570000,46.338905,419900
2018-01-22,46.389999,46.400002,46.020000,46.310001,46.080200,296600
2018-01-23,46.340000,46.790001,46.240002,46.459999,46.229454,290400
2018-01-24,46.610001,46.660000,45.759998,45.939999,45.712032,353200
2018-01-25,46.180000,46.209999,45.419998,46.070000,45.841389,582400
2018-01-26,46.180000,46.970001,44.740002,46.930000,46.697121,436300
2018-01-29,46.840000,47.630001,46.439999,47.480000,47.244392,636800
2018-01-30,47.049999,47.330002,46.419998,46.509998,46.279202,761600
2018-01-31,48.250000,50.590000,47.619999,49.939999,49.692184,1368800
2018-02-01,49.000000,50.599998,47.599998,50.230000,49.980743,750000
2018-02-02,49.720001,50.610001,49.070000,50.119999,49.871288,717300
2018-02-05,50.049999,50.090000,48.419998,48.509998,48.269279,1112300
2018-02-06,47.849998,48.900002,47.330002,48.110001,47.871265,756200
2018-02-07,47.880001,48.470001,47.380001,47.689999,47.453350,635800
2018-02-08,47.779999,47.840000,46.340000,46.349998,46.119999,704700
2018-02-09,46.419998,47.349998,44.700001,46.119999,46.119999,801300
