PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,D,3,0,22,1,0,7.25
2,S,1,1,38,1,0,71.2833
3,S,3,1,26,0,0,7.925
4,S,1,1,35,1,0,53.1
5,D,3,0,35,0,0,8.05
6,D,3,0,24.0442583732,0,0,8.4583
7,D,1,0,54,0,0,51.8625
8,D,3,0,2,3,1,21.075
9,S,3,1,27,0,2,11.1333
10,S,2,1,14,1,0,30.0708
11,S,3,1,4,1,1,16.7
12,S,1,1,58,0,0,26.55
13,D,3,0,20,0,0,8.05
14,D,3,0,39,1,5,31.275
15,D,3,1,14,0,0,7.8542
16,S,2,1,55,0,0,16
17,D,3,0,2,4,1,29.125
18,S,2,0,24.0442583732,0,0,13
19,D,3,1,31,1,0,18
20,S,3,1,24.0442583732,0,0,7.225
21,D,2,0,35,0,0,26
22,S,2,0,34,0,0,13
23,S,3,1,15,0,0,8.0292
24,S,1,0,28,0,0,35.5
25,D,3,1,8,3,1,21.075
26,S,3,1,38,1,5,31.3875
27,D,3,0,24.0442583732,0,0,7.225
28,D,1,0,19,3,2,263
29,S,3,1,24.0442583732,0,0,7.8792
30,D,3,0,24.0442583732,0,0,7.8958
31,D,1,0,40,0,0,27.7208
32,S,1,1,24.0442583732,1,0,146.5208
33,S,3,1,24.0442583732,0,0,7.75
34,D,2,0,66,0,0,10.5
35,D,1,0,28,1,0,82.1708
36,D,1,0,42,1,0,52
37,S,3,0,24.0442583732,0,0,7.2292
38,D,3,0,21,0,0,8.05
39,D,3,1,18,2,0,18
40,S,3,1,14,1,0,11.2417
41,D,3,1,40,1,0,9.475
42,D,2,1,27,1,0,21
43,D,3,0,24.0442583732,0,0,7.8958
44,S,2,1,3,1,2,41.5792
45,S,3,1,19,0,0,7.8792
46,D,3,0,24.0442583732,0,0,8.05
47,D,3,0,24.0442583732,1,0,15.5
48,S,3,1,24.0442583732,0,0,7.75
49,D,3,0,24.0442583732,2,0,21.6792
50,D,3,1,18,1,0,17.8
51,D,3,0,7,4,1,39.6875
52,D,3,0,21,0,0,7.8
53,S,1,1,49,1,0,76.7292
54,S,2,1,29,1,0,26
55,D,1,0,65,0,1,61.9792
56,S,1,0,24.0442583732,0,0,35.5
57,S,2,1,21,0,0,10.5
58,D,3,0,28.5,0,0,7.2292
59,S,2,1,5,1,2,27.75
60,D,3,0,11,5,2,46.9
61,D,3,0,22,0,0,7.2292
62,S,1,1,38,0,0,80
63,D,1,0,45,1,0,83.475
64,D,3,0,4,3,2,27.9
